"iter","time","est_name","n_fe","dgp_name","n_iters","n_obs"
9,0.126275777816772,"alpaca Poisson",2,"simple",10,10000
9,0.0477430820465088,"fixest::fepois",2,"simple",10,10000
9,0.155327558517456,"pyfixest.fepois",3,"simple",10,10000
9,0.0412840843200684,"GLFixedEffectModels Poisson",3,"simple",10,10000
9,0.345930337905884,"alpaca Poisson",3,"simple",10,10000
9,0.0582597255706787,"fixest::fepois",3,"simple",10,10000
10,0.104511499404907,"pyfixest.fepois",2,"simple",10,10000
10,0.01926589012146,"GLFixedEffectModels Poisson",2,"simple",10,10000
10,0.107380390167236,"alpaca Poisson",2,"simple",10,10000
10,0.0493106842041016,"fixest::fepois",2,"simple",10,10000
10,0.122771501541138,"pyfixest.fepois",3,"simple",10,10000
10,0.0274460315704346,"GLFixedEffectModels Poisson",3,"simple",10,10000
10,0.199545860290527,"alpaca Poisson",3,"simple",10,10000
10,0.0555863380432129,"fixest::fepois",3,"simple",10,10000
11,0.103789567947388,"pyfixest.fepois",2,"simple",10,10000
11,0.0207610130310059,"GLFixedEffectModels Poisson",2,"simple",10,10000
11,0.121800184249878,"alpaca Poisson",2,"simple",10,10000
11,0.0550715923309326,"fixest::fepois",2,"simple",10,10000
11,0.134143829345703,"pyfixest.fepois",3,"simple",10,10000
11,0.0361630916595459,"GLFixedEffectModels Poisson",3,"simple",10,10000
11,0.309343576431274,"alpaca Poisson",3,"simple",10,10000
11,0.0598409175872803,"fixest::fepois",3,"simple",10,10000
2,0.374737024307251,"pyfixest.fepois",2,"simple",5,1e+05
2,0.367806911468506,"GLFixedEffectModels Poisson",2,"simple",5,1e+05
2,1.1966347694397,"alpaca Poisson",2,"simple",5,1e+05
2,0.104602813720703,"fixest::fepois",2,"simple",5,1e+05
2,1.10232090950012,"pyfixest.fepois",3,"simple",5,1e+05
2,0.379633188247681,"GLFixedEffectModels Poisson",3,"simple",5,1e+05
2,4.3730149269104,"alpaca Poisson",3,"simple",5,1e+05
2,0.157160997390747,"fixest::fepois",3,"simple",5,1e+05
3,0.323468208312988,"pyfixest.fepois",2,"simple",5,1e+05
3,0.223660945892334,"GLFixedEffectModels Poisson",2,"simple",5,1e+05
3,1.32258534431458,"alpaca Poisson",2,"simple",5,1e+05
3,0.0930404663085938,"fixest::fepois",2,"simple",5,1e+05
3,1.19141888618469,"pyfixest.fepois",3,"simple",5,1e+05
3,0.765529155731201,"GLFixedEffectModels Poisson",3,"simple",5,1e+05
3,4.19700002670288,"alpaca Poisson",3,"simple",5,1e+05
3,0.18842625617981,"fixest::fepois",3,"simple",5,1e+05
4,0.382441520690918,"pyfixest.fepois",2,"simple",5,1e+05
4,0.203779220581055,"GLFixedEffectModels Poisson",2,"simple",5,1e+05
4,1.258131980896,"alpaca Poisson",2,"simple",5,1e+05
4,0.0941555500030518,"fixest::fepois",2,"simple",5,1e+05
4,1.07390332221985,"pyfixest.fepois",3,"simple",5,1e+05
4,0.710077047348022,"GLFixedEffectModels Poisson",3,"simple",5,1e+05
4,5.34242010116577,"alpaca Poisson",3,"simple",5,1e+05
4,0.136737823486328,"fixest::fepois",3,"simple",5,1e+05
5,0.4111647605896,"pyfixest.fepois",2,"simple",5,1e+05
5,0.19336986541748,"GLFixedEffectModels Poisson",2,"simple",5,1e+05
5,1.13804388046265,"alpaca Poisson",2,"simple",5,1e+05
5,0.0988845825195312,"fixest::fepois",2,"simple",5,1e+05
5,1.20789003372192,"pyfixest.fepois",3,"simple",5,1e+05
5,0.518128871917725,"GLFixedEffectModels Poisson",3,"simple",5,1e+05
5,3.10877585411072,"alpaca Poisson",3,"simple",5,1e+05
5,0.160838842391968,"fixest::fepois",3,"simple",5,1e+05
6,0.43734073638916,"pyfixest.fepois",2,"simple",5,1e+05
6,0.38181209564209,"GLFixedEffectModels Poisson",2,"simple",5,1e+05
6,1.25848388671875,"alpaca Poisson",2,"simple",5,1e+05
6,0.0920484066009521,"fixest::fepois",2,"simple",5,1e+05
6,1.61421823501587,"pyfixest.fepois",3,"simple",5,1e+05
6,0.487872838973999,"GLFixedEffectModels Poisson",3,"simple",5,1e+05
6,5.67046165466309,"alpaca Poisson",3,"simple",5,1e+05
6,0.196868181228638,"fixest::fepois",3,"simple",5,1e+05
2,0.0907666683197021,"pyfixest.fepois",2,"difficult",10,1000
2,0.00493502616882324,"GLFixedEffectModels Poisson",2,"difficult",10,1000
2,0.0130674839019775,"alpaca Poisson",2,"difficult",10,1000
2,0.0149524211883545,"fixest::fepois",2,"difficult",10,1000
2,0.0961906909942627,"pyfixest.fepois",3,"difficult",10,1000
2,0.00724005699157715,"GLFixedEffectModels Poisson",3,"difficult",10,1000
2,0.0167772769927979,"alpaca Poisson",3,"difficult",10,1000
2,0.0152058601379395,"fixest::fepois",3,"difficult",10,1000
3,0.0931313037872314,"pyfixest.fepois",2,"difficult",10,1000
3,0.00565719604492188,"GLFixedEffectModels Poisson",2,"difficult",10,1000
3,0.0188677310943604,"alpaca Poisson",2,"difficult",10,1000
3,0.0147335529327393,"fixest::fepois",2,"difficult",10,1000
3,0.0932188034057617,"pyfixest.fepois",3,"difficult",10,1000
3,0.00839400291442871,"GLFixedEffectModels Poisson",3,"difficult",10,1000
3,0.0226879119873047,"alpaca Poisson",3,"difficult",10,1000
3,0.0152568817138672,"fixest::fepois",3,"difficult",10,1000
4,0.0964946746826172,"pyfixest.fepois",2,"difficult",10,1000
4,0.00458383560180664,"GLFixedEffectModels Poisson",2,"difficult",10,1000
4,0.0144298076629639,"alpaca Poisson",2,"difficult",10,1000
4,0.0153841972351074,"fixest::fepois",2,"difficult",10,1000
4,0.0942769050598145,"pyfixest.fepois",3,"difficult",10,1000
4,0.00623893737792969,"GLFixedEffectModels Poisson",3,"difficult",10,1000
4,0.163254022598267,"alpaca Poisson",3,"difficult",10,1000
4,0.0141327381134033,"fixest::fepois",3,"difficult",10,1000
5,0.091205358505249,"pyfixest.fepois",2,"difficult",10,1000
5,0.00420808792114258,"GLFixedEffectModels Poisson",2,"difficult",10,1000
5,0.0128552913665771,"alpaca Poisson",2,"difficult",10,1000
5,0.014721155166626,"fixest::fepois",2,"difficult",10,1000
5,0.0963418483734131,"pyfixest.fepois",3,"difficult",10,1000
5,0.00578904151916504,"GLFixedEffectModels Poisson",3,"difficult",10,1000
5,0.0166757106781006,"alpaca Poisson",3,"difficult",10,1000
5,0.0150442123413086,"fixest::fepois",3,"difficult",10,1000
6,0.0932402610778809,"pyfixest.fepois",2,"difficult",10,1000
6,0.00469493865966797,"GLFixedEffectModels Poisson",2,"difficult",10,1000
6,0.0130457878112793,"alpaca Poisson",2,"difficult",10,1000
6,0.0149252414703369,"fixest::fepois",2,"difficult",10,1000
6,0.0923187732696533,"pyfixest.fepois",3,"difficult",10,1000
6,0.0088798999786377,"GLFixedEffectModels Poisson",3,"difficult",10,1000
6,0.0190043449401855,"alpaca Poisson",3,"difficult",10,1000
6,0.0153501033782959,"fixest::fepois",3,"difficult",10,1000
7,0.0899662971496582,"pyfixest.fepois",2,"difficult",10,1000
7,0.00507521629333496,"GLFixedEffectModels Poisson",2,"difficult",10,1000
7,0.0165634155273438,"alpaca Poisson",2,"difficult",10,1000
7,0.0151405334472656,"fixest::fepois",2,"difficult",10,1000
7,0.102437019348145,"pyfixest.fepois",3,"difficult",10,1000
7,0.0069739818572998,"GLFixedEffectModels Poisson",3,"difficult",10,1000
7,0.0208284854888916,"alpaca Poisson",3,"difficult",10,1000
7,0.0153374671936035,"fixest::fepois",3,"difficult",10,1000
8,0.0927243232727051,"pyfixest.fepois",2,"difficult",10,1000
8,0.00452899932861328,"GLFixedEffectModels Poisson",2,"difficult",10,1000
8,0.0137293338775635,"alpaca Poisson",2,"difficult",10,1000
8,0.0163295269012451,"fixest::fepois",2,"difficult",10,1000
8,0.0944719314575195,"pyfixest.fepois",3,"difficult",10,1000
8,0.00658798217773438,"GLFixedEffectModels Poisson",3,"difficult",10,1000
8,0.025684118270874,"alpaca Poisson",3,"difficult",10,1000
8,0.0155684947967529,"fixest::fepois",3,"difficult",10,1000
9,0.0894293785095215,"pyfixest.fepois",2,"difficult",10,1000
9,0.00619912147521973,"GLFixedEffectModels Poisson",2,"difficult",10,1000
9,0.0130376815795898,"alpaca Poisson",2,"difficult",10,1000
9,0.0148169994354248,"fixest::fepois",2,"difficult",10,1000
9,0.0923120975494385,"pyfixest.fepois",3,"difficult",10,1000
9,0.00628399848937988,"GLFixedEffectModels Poisson",3,"difficult",10,1000
9,0.0174596309661865,"alpaca Poisson",3,"difficult",10,1000
9,0.0207152366638184,"fixest::fepois",3,"difficult",10,1000
10,0.0893955230712891,"pyfixest.fepois",2,"difficult",10,1000
10,0.00422000885009766,"GLFixedEffectModels Poisson",2,"difficult",10,1000
10,0.0132205486297607,"alpaca Poisson",2,"difficult",10,1000
10,0.014840841293335,"fixest::fepois",2,"difficult",10,1000
10,0.0902032852172852,"pyfixest.fepois",3,"difficult",10,1000
10,0.00580716133117676,"GLFixedEffectModels Poisson",3,"difficult",10,1000
10,0.0176925659179688,"alpaca Poisson",3,"difficult",10,1000
10,0.0150456428527832,"fixest::fepois",3,"difficult",10,1000
11,0.0915377140045166,"pyfixest.fepois",2,"difficult",10,1000
11,0.00406599044799805,"GLFixedEffectModels Poisson",2,"difficult",10,1000
11,0.0129837989807129,"alpaca Poisson",2,"difficult",10,1000
11,0.0149703025817871,"fixest::fepois",2,"difficult",10,1000
11,0.0943484306335449,"pyfixest.fepois",3,"difficult",10,1000
11,0.00598788261413574,"GLFixedEffectModels Poisson",3,"difficult",10,1000
11,0.0168032646179199,"alpaca Poisson",3,"difficult",10,1000
11,0.0154843330383301,"fixest::fepois",3,"difficult",10,1000
2,0.11394190788269,"pyfixest.fepois",2,"difficult",10,10000
2,0.0417089462280273,"GLFixedEffectModels Poisson",2,"difficult",10,10000
2,0.121551036834717,"alpaca Poisson",2,"difficult",10,10000
2,0.0556373596191406,"fixest::fepois",2,"difficult",10,10000
